request_date,response_code
2016-09-29 10:28:36.516,200
2016-09-29 10:28:36.724,200
2016-09-29 10:21:57.558,200
2016-09-29 10:21:58.194,200
2016-09-29 10:28:58.039,200
2016-09-29 06:49:49.525,302
2016-09-29 11:32:54.275,201
2016-09-29 11:32:54.410,201
2016-09-29 06:56:47.073,200
2016-09-29 06:48:47.424,302
2016-09-29 06:48:44.795,302
2016-09-29 06:56:42.678,302
2016-09-13 09:25:01.540,201
2016-09-30 09:10:40.113,200
2016-09-29 13:01:19.266,200
2016-09-30 09:11:00.793,200
2016-09-29 13:01:16.282,200
2016-09-29 13:01:15.360,200
2016-09-29 13:01:15.492,200
2016-09-29 13:01:19.408,304
2016-09-29 13:17:17.887,201
2016-09-30 07:28:51.100,201
2016-09-30 07:26:26.904,201
2016-09-30 10:01:15.844,200
2016-09-30 10:01:15.855,304
2016-09-30 10:15:16.608,200
2016-09-30 10:15:16.612,200
2016-09-30 10:22:29.482,200
2016-09-30 10:22:29.627,200
2016-09-30 10:15:10.650,204
2016-09-30 10:15:10.756,201
2016-09-30 10:12:52.041,304
2016-09-30 10:12:43.107,200
2016-09-30 10:12:34.597,201
2016-09-30 09:48:56.481,404
2016-09-30 10:13:31.347,201
2016-09-30 10:22:31.610,200
2016-09-30 10:22:31.715,200
2016-09-30 10:24:02.674,200
2016-09-30 10:25:55.552,200
2016-09-30 10:25:55.600,200
2016-09-30 10:25:55.753,200
2016-09-30 10:28:53.917,200
2016-09-30 10:28:53.999,200
2016-09-30 11:11:21.080,200
2016-09-30 11:11:21.217,200
2016-09-30 10:25:48.290,204
2016-09-30 10:25:48.395,201
2016-09-30 10:25:57.318,304
2016-09-30 10:23:59.720,200
2016-09-30 11:05:49.924,204
2016-09-30 11:46:57.365,200
2016-09-30 11:46:57.466,200
2016-09-30 11:47:57.853,200
2016-09-30 11:47:33.684,302
2016-09-30 11:47:33.734,200
2016-09-30 11:47:33.767,200
2016-09-30 11:47:33.810,200
2016-09-30 11:11:22.075,200
2016-09-30 11:47:35.308,200
2016-09-30 11:34:54.593,200
2016-09-30 11:34:54.782,200
2016-09-30 11:37:28.233,200
2016-09-30 11:37:29.729,302
2016-09-30 11:34:50.050,201
2016-09-30 11:56:19.856,200
2016-09-30 11:48:09.650,200
2016-09-30 11:48:13.889,200
2016-09-30 11:56:15.784,200
2016-09-30 11:56:03.512,302
2016-09-30 11:56:03.556,200
2016-09-30 11:56:03.627,200
2016-09-30 11:56:07.329,302
2016-09-30 11:49:44.558,200
2016-09-30 11:49:44.798,200
2016-09-30 11:56:10.403,200
2016-09-30 11:50:22.356,200
2016-09-30 12:11:59.599,200
2016-09-30 12:12:18.079,200
2016-09-30 12:21:51.801,200
2016-09-30 12:33:17.839,200
2016-09-30 12:38:12.912,200
2016-09-30 12:46:03.463,200
2016-09-30 12:51:01.807,200
2016-10-03 13:08:46.759,200
2016-10-03 13:16:27.095,200
2016-10-03 13:08:40.825,302
2016-10-03 13:18:04.052,304
2016-10-03 13:16:25.706,200
2016-10-03 13:18:02.160,200
2016-10-03 13:17:21.948,200
2016-10-03 13:17:58.163,201
2016-10-03 13:08:45.251,200
2016-10-03 13:08:38.358,302
2016-10-03 13:22:16.952,200
2016-10-03 13:22:17.417,304
2016-10-03 13:18:43.955,200
2016-10-03 14:34:02.455,200
2016-10-03 14:34:03.368,200
2016-10-03 13:18:42.605,200
2016-10-03 13:18:42.686,200
2016-10-03 13:18:42.806,200
2016-10-03 13:43:35.220,302
2016-10-03 13:43:35.521,200
2016-10-03 13:22:15.409,200
2016-10-03 13:18:32.117,204
2016-10-03 13:21:31.481,204
2016-10-03 14:31:48.656,204
2016-10-03 14:34:03.536,200
2016-10-03 14:39:30.201,200
2016-10-03 14:39:30.644,200
2016-10-03 14:37:23.336,204
2016-10-03 14:37:23.490,201
2016-10-03 14:43:02.094,304
2016-10-03 14:43:00.374,200
2016-10-03 14:40:04.385,201
2016-10-03 14:41:18.185,201
2016-10-03 14:43:16.788,204
2016-10-03 14:40:04.091,204
2016-10-03 14:45:43.267,200
2016-10-03 14:45:43.424,304
2016-10-03 15:06:54.744,200
2016-10-03 15:06:54.909,200
2016-10-03 15:06:56.981,200
2016-10-03 14:45:42.296,200
2016-10-03 15:07:57.590,200
